64,64
32,40
idle_down:0,0;0,0,0,600;
idle_left:0,0;11,0,0,600;
idle_right:0,0;22,0,0,600;
idle_up:0,0;33,0,0,600;
walking_down:0,0;1,0,5,4;2,0,10,4;3,0,14,4;4,0,19,4;5,0,24,4;6,0,29,4;7,0,34,4;8,0,38,4;9,0,43,4;10,0,48,4;
walking_left:0,0;12,-5,0,4;13,-10,0,4;14,-14,0,4;15,-19,0,4;16,-24,0,4;17,-29,0,4;18,-34,0,4;19,-38,0,4;20,-43,0,4;21,-48,0,4;
walking_right:0,0;23,5,0,4;24,10,0,4;25,14,0,4;26,19,0,4;27,24,0,4;28,29,0,4;29,34,0,4;30,38,0,4;31,43,0,4;32,48,0,4;
walking_up:0,0;34,0,-5,4;35,0,-10,4;36,0,-14,4;37,0,-19,4;38,0,-24,4;39,0,-29,4;40,0,-34,4;41,0,-38,4;42,0,-43,4;43,0,-48,4;
walking_down_s2:0,0;1,0,5,3;2,0,10,3;3,0,14,3;4,0,19,3;5,0,24,3;6,0,29,3;7,0,34,3;8,0,38,3;9,0,43,3;10,0,48,3;
walking_left_s2:0,0;12,-5,0,3;13,-10,0,3;14,-14,0,3;15,-19,0,3;16,-24,0,3;17,-29,0,3;18,-34,0,3;19,-38,0,3;20,-43,0,3;21,-48,0,3;
walking_right_s2:0,0;23,5,0,3;24,10,0,3;25,14,0,3;26,19,0,3;27,24,0,3;28,29,0,3;29,34,0,3;30,38,0,3;31,43,0,3;32,48,0,3;
walking_up_s2:0,0;34,0,-5,3;35,0,-10,3;36,0,-14,3;37,0,-19,3;38,0,-24,3;39,0,-29,3;40,0,-34,3;41,0,-38,3;42,0,-43,3;43,0,-48,3;
walking_down_s3:0,0;1,0,5,2;2,0,10,2;3,0,14,2;4,0,19,2;5,0,24,2;6,0,29,2;7,0,34,2;8,0,38,2;9,0,43,2;10,0,48,2;
walking_left_s3:0,0;12,-5,0,2;13,-10,0,2;14,-14,0,2;15,-19,0,2;16,-24,0,2;17,-29,0,2;18,-34,0,2;19,-38,0,2;20,-43,0,2;21,-48,0,2;
walking_right_s3:0,0;23,5,0,2;24,10,0,2;25,14,0,2;26,19,0,2;27,24,0,2;28,29,0,2;29,34,0,2;30,38,0,2;31,43,0,2;32,48,0,2;
walking_up_s3:0,0;34,0,-5,2;35,0,-10,2;36,0,-14,2;37,0,-19,2;38,0,-24,2;39,0,-29,2;40,0,-34,2;41,0,-38,2;42,0,-43,2;43,0,-48,2;
walking_down_s4:0,0;1,0,5,1;2,0,10,1;3,0,14,1;4,0,19,1;5,0,24,1;6,0,29,1;7,0,34,1;8,0,38,1;9,0,43,1;10,0,48,1;
walking_left_s4:0,0;12,-5,0,1;13,-10,0,1;14,-14,0,1;15,-19,0,1;16,-24,0,1;17,-29,0,1;18,-34,0,1;19,-38,0,1;20,-43,0,1;21,-48,0,1;
walking_right_s4:0,0;23,5,0,1;24,10,0,1;25,14,0,1;26,19,0,1;27,24,0,1;28,29,0,1;29,34,0,1;30,38,0,1;31,43,0,1;32,48,0,1;
walking_up_s4:0,0;34,0,-5,1;35,0,-10,1;36,0,-14,1;37,0,-19,1;38,0,-24,1;39,0,-29,1;40,0,-34,1;41,0,-38,1;42,0,-43,1;43,0,-48,1;
